title,description
Full Stack Developer,"Ensure the security,reliability,and scalability of our applications. Work on multiple projects simultaneously and manage priorities effectively. Strong understanding of back-end and front-end web development frameworks,such as Node.js,React,Angular,or Vue.js. Proficiency in programming languages such as JavaScript,HTML,CSS,and SQL."
"Staff Software Engineer( C# , .Net)","Bachelor s or master s degree in Computer Science,Software Engineering,or related field,with 13+ years of experience designing and developing enterprise-grade software products Experience building desktop and web applications using .NET Framework 5,WPF,WCF,ASP.NET,MVC,Blazor,Razor components,and Visual Studio The essential requirements of the job include: ."
Data Scientist,Disclaimer: This job description has been sourced from a public domain and may have been modified by Naukri.com to improve clarity for our users
"Software Engineer/Business Analyst, 2025 graduate Can also apply","Designation: Trainee . Educational Background: Minimum Technical Graduate (Btech,BCA,MCA) . Shift-Work from Office . Work Location is Gurgaon - permanent work from office"
"Software Engineer II, Cybersecurity Opertaions","Experience with SOAR / SIEM technologies Experience with incident response and monitoring tools,such as SIEM,EDR,cloud monitoring,etc Strong communication skills to describe challenges and roadblocks when building and maintaining our security operations tooling and logging We Are a Match Because You Have: 3-5 years experience working in cyber security operations"
Python Software Developer,"We are hiring for a front-end developer Location: Bangalore year of pass out: 2020-2025 qualification: Any graduate Technologies: Python and Django package: 4-4.5LPA For more details, apply here we will get back to you"
SAP Full Stack Developer,": . SAP developer with hands-on development experience with CRM ABAP,ECC ABAP,UI5 application development Strong ODATA,BAPI and Web services experience Good Exposure in Workflows,IDOCs Good communication skills Good knowledge of SAP BAS,VS Code"
Software Developer - 1 year - 5 years - immediate joining,"Graduates from 2024 & 2025 batches are not eligible Eligibility: . Must have completed your previous job . Relieving Letter (Hard Copy) required . Resume (Hard Copy) required . We are looking for Software Developers to join our team and help us build functional,efficient,and user-focused applications Good communication and team collaboration"
.NET Software Developer,"Experience developing REST APIs and / or web applications using .NET Core,ASP.NET MVC,or similar frameworks Preferred candidate profile . 3 6 years professional experience in .NET development (Framework and Core) willingness to support VB.NET for legacy systems Experience working in Agile development environments (Scrum or Kanban)"
Java Developer,Good communication skills . Bachelors Degree Prodapt Solutions is looking for a Java Developer with 5 to 7 years of experience
Dot Net Full stack developer (Intern),Paid time off . Work from home Perform and document unit testing . Understanding of RDBMS and database scripting concepts would be an added advantage . Good command on English . Entity Framework . AJAX . javascript . HTML5 . CSS3 . GIT . Must be well versed with creating and consuming APIs
Medical Data Analyst,"Required Skills & Competencies Preferred Qualifications Experience with statistical software (R,SAS,SPSS,Python). . Understanding of medical terminologies,healthcare compliance,and quality standards. . Strong analytical,problem-solving,and critical-thinking abilities. Experience in healthcare research,medical coding,or clinical trials."
Ai Ml Engineer,"Familiarity with CI / CD for ML models and model monitoring tools. Good problem-solving skills and the ability to work in a fast-paced,collaborative environment. Requirements . 6-5 years of experience in AI / ML development,preferably in product-based environments. Strong programming skills in Python and hands-on experience with ML frameworks like TensorFlow,PyTorch,or Scikit-learn."
Java developer+ React JS - Immediate Joiner only,Candidate should have experience in Java & React JSJava + React JS 18 LPA CTC
Devops Engineer (Azure & Kubernetes)- Client Location- Delhi,"Maintain various software feature branches using a Source Control System Responsible for Web application Management, Data loading, monitoring Deploy updates & Fixes Provisioning & managing virtual instances of the servers. Deploy the application codeOperating Syst – Windows, Linux, ubuntu, Centos – Jboss, Tomcat – Oracle, Mysql - Cassandra, Elasticsearch, R, Hadoop, Spark, Logstash -Python, Bash Scripting, Docker, Kubernetes -CI/CD conceptsPaid Leave Health insurance"
Python Developer,We are seeking a skilled Python Developer with 2-3 years of experience to join our dynamic team.
Java Developer,"Knowledge of build tools (Gradle preferred,Maven acceptable) Having between 7 to 12 + years of experience Hands-on experience with Java 17 or later Experience with RDBMS (Postgres / AWS Aurora) Experience in CI / CD pipelines with Git and Jenkins Experience in financial disputes management or payment networks"
Senior Data Scientist,"Preferred Qualifications: . Masters or PhD in Computer Science,Machine Learning,Artificial Intelligence,or a related field Immediate joiners or candidates with short notice periods (030 days) will be given strong preference. Key Responsibilities: . Required Skills and Experience: . 5+ years of experience in Data Science or AI roles,with 2+ years in GenAI or LLMs"
Backend Java Developer,"Senior Software Engineer - Backend Experience: 5 - 6 Years Exp Salary: Competitive Preferred Notice Period : 30 Days Shift : 10:00 AM to 6:00 PM IST Opportunity Type: Office (Bengaluru) Placement Type: Permanent (*Note: This is a requirement for one of Uplers' Clients) Must have skills required : Java and MongoDB, and MySQL Zolo (One of Uplers' Clients) is Looking for: Senior Software Engineer - Backend who is passionate about their work, eager to learn and grow, and who is committed to delivering exceptional results. If you are a team player, with a positive attitude and a desire to make a difference, then we want to hear from you. Role Overview Description We are looking for a highly skilled and experienced Senior Backend Engineer with strong expertise in Java and Spring Boot to join our engineering team. You will be responsible for designing, developing, and maintaining scalable backend services, APIs, and microservices that power our applications. This role requires excellent problem-solving skills, deep technical knowledge, and the ability to mentor junior engineers while collaborating with cross-functional teams. Key Responsibilities Design, develop, test, and deploy scalable and high-performance backend systems using Java and Spring Boot. Build and maintain RESTful APIs services for internal and external use. Write clean, maintainable, and well-documented code following best practices. Optimize application performance, scalability, and reliability. Participate in code reviews, system design discussions, and architecture planning. Integrate with databases (SQL/NoSQL), caching layers, and messaging systems. Implement security best practices, authentication, and authorization in APIs. Ensure proper unit testing, integration testing, and CI/CD practices are followed. Mentor junior developers and contribute to building a strong engineering culture. Required Skills & Qualifications 5-6 years of hands-on experience in backend development with Java. Experience with RESTful APIs, Microservices architecture, and distributed systems. Solid understanding of relational databases (MySQL/PostgreSQL) and familiarity with NoSQL databases (MongoDB, Redis, etc.). Good knowledge of message queues (Kafka, RabbitMQ, ActiveMQ, etc.). Strong understanding of OOP, design patterns, and system design principles. Familiarity with Docker, Kubernetes, and cloud platforms (AWS/GCP/Azure). Hands-on experience with CI/CD pipelines (GitLab CI, Jenkins, etc.). Excellent problem-solving, debugging, and performance tuning skills. Strong communication and collaboration abilities. How to apply for this opportunity: Easy 3-Step Process: 1. Click On Apply! And Register or log in on our portal 2. Upload updated Resume & Complete the Screening Form 3. Increase your chances to get shortlisted & meet the client for the Interview! About Our Client: Zolo provides safe, hygienic & premium coliving spaces to students, professionals & organizations. We are currently located in 10+ cities and growing every single day. About Uplers: Our goal is to make hiring and getting hired reliable, simple, and fast. Our role will be to help all our talents find and apply for relevant product and engineering job opportunities and progress in their career. (Note: There are many more opportunities apart from this on the portal.) So, if you are ready for a new challenge, a great work environment, and an opportunity to take your career to the next level, don't hesitate to apply today. We are waiting for you!"
Senior Full Stack Developer (Python & ReactJS),"Roles and Responsibilities: Design, develop, and maintain custom applications based on evolving business requirements using Python and ReactJS . Write clean, scalable, and efficient code with minimal dependencies . Collaborate with cross-functional teams to define, design, and deliver new features. Take ownership of modules and independently manage tasks with minimal supervision. Mentor junior developers and contribute to team growth and knowledge sharing. Stay up to date with emerging technologies and demonstrate a willingness to upskill based on project needs. Ensure code quality through unit testing, code reviews, and best practices. Integrate backend services with RESTful APIs . Required Skills: Strong proficiency in Python with at least 3+ years of hands-on experience . Solid experience with ReactJS in building responsive and performant web applications. Ability to work in a fast-paced, agile environment and deliver independently . Experience in working with REST APIs and integrating front-end and back-end components. Desired Skills: Exposure to Java for backend integration or legacy system support. Good understanding of RESTful architecture and services."
Java Developer,Experience with Java and SQL development Good hands -on experience with core java and stored procedures Java Backend Rest API development experience Experience in debugging and inestigating multi-threaded applicatons
Python Full Stack Developer,"Hands-on experience with Azure PaaS services,including. Key Requirements: . Azure Functions,Azure App Service,Logic Apps,Serverless Computing . Good understanding of REST APIs design and integration"
Senior Python Developer,"Design, implement, and maintain cloud-native microservices using Python with FastAPI/asyncio frameworks. Develop async services to manage Ansible Runner execution and event workflows. Create and optimize REST APIs for configuration, operational data, and telemetry delivery. Integrate services with Apache Kafka to coordinate inter-service communication, track job execution, and publish status updates. Develop, optimize, and maintain Ansible playbooks (YAML) and Ansible Runner integrations to automate provisioning, configuration, and lifecycle management for network devices. Design and manage relational database schemas (PostgreSQL/MySQL), optimize queries, and ensure data integrity for automated workflows. Participate in branching strategies, pull requests, and CI/CD pipelines for automated build, test, and deployment. The Must Haves Bachelor s or Master s degree in Computer Science or equivalent experience. A minimum of 7+ years of hands-on experience in Python development, including async programming (FastAPI, asyncio). Strong working knowledge of Apache Kafka (topics, partitions, consumer groups, message serialization). Expertise with Ansible, Ansible Runner, YAML playbooks, and custom network device automation modules. Proficiency in PostgreSQL/MySQL schema design, data modeling, and performance tuning. Experience with Docker, Kubernetes/OpenShift, and microservice scaling strategies. Familiarity with network security best practices including SSH key management and password vaulting. Nice to Haves Past experience developing network orchestration systems or telecom-grade automation solutions. Familiarity with multi-vendor network environments and SDN/NFV concepts. Experience implementing secure API gateways and service mesh architectures (e.g., Istio). Contributions to open-source automation frameworks. Knowledge of Prometheus/Grafana for metrics and ELK/OpenSearch for log aggregation."
Python Software Developer,"Utilize Databricks SDK and CLI tools to orchestrate and monitor batch and streaming workloads Required Skills & Experience: Strong Python programming expertise,including REST API programming and SDK / library integrations Familiarity with CI / CD pipelines,Git,and devops-oriented development practices preferred. ."
"Sr Full Stack Developer Java, Angular, SQL (MMIS)","Experience: 8 to 12 years We are seeking a highly skilled and experienced Full Stack Developer with a strong background in Java,Angular,and SQL,and hands-on experience in MMIS implementations"
Machine Learning Engineer,"Build and maintain model scoring APIs and batch inference jobs Must have skills: Machine Learning,ML Flow,Azure ML,Python,AKS,CI / CD,ML Workflow,APIs Experience: 5+ Years. Notice period: 0-30 Days OR Immediate"
"Data Analyst -Excel,Power Query,VBA,Macros and Tableau","Qualifications and credentials: . Bachelors degree in computer science,statistics,or related field. Advanced Excel skills for managing large datasets with functions such as: IF,SUM,SUMIF,INDEX,INDEXMATCH,MATCH,VLOOKUP. Manipulating data with complex Excel and VBA ."
Java Full Stack Developer,"Formal training or certification on Software Engineering,Java,J2EE,React JS Concepts and 5+ years of strong hands on experience Hands-on practical experience in system design,application development,testing,and operational stability Experience across the whole Software Development Life Cycle"
Software Developer (Automotive Infotainment),"Minimum 5 years of embedded software development experience on Android,Linux or QNX based projects in automotive domain Good communication skills"
GenAI Data Scientist,Skills Required: • Strong Gen AI and expert in Python coding required. • NLP and LLM • Oops concepts Should have done Gen AI projects.
Python Developer (Kong API)-Hiring For IT Firm-Contract,"Strong proficiency in Python. Proven hands-on experience with Kong API Gateway. Experience with REST and SOAP API development and integration. Strong understanding of API security, versioning, and best practicesExposure to Kong API, API Integration. Telecom domain exp. would be added advantage."
Software Developer - Oracle forms and reports,"Required Skills and Qualifications: . 3+ years of experience with Oracle Forms and Reports (10g or higher). . Strong hands-on expertise in PL / SQL programming,SQL performance tuning,and database design. Experience in creating and customizing reports and data entry forms. Good understanding of SDLC processes and Agile methodologies"
Java Developer,"Experience Required :5 to 12 yrs . Work Location :Pune / Hyderabad Required Skills,. Springboot. Microservices. ."
Azure Devops Engineer,"Design and implement CI/CD pipelines using Azure DevOps and/or GitHub Actions Develop and manage infrastructure using Terraform and YAML Automate provisioning and configuration of Azure resources Manage source control using Git and enforce branching strategies Write and maintain scripts using PowerShell or Shell scripting Collaborate with development and operations teams to ensure smooth deployment processes Monitor and optimize cloud infrastructure for performance, cost, and security Troubleshoot and resolve issues in cloud environments and deployment pipelines Strong experience with Terraform for infrastructure as code Proficiency in YAML for pipeline and configuration management Deep understanding of Azure resources Hands-on experience with Git and version control workflows Scripting expertise in PowerShell and/or Shell Proven experience in CI/CD implementation using Azure DevOps or GitHub Actions"
Lead DevOps Engineer - Azure,"Strong CI / CD pipeline configuration and management experience (GitHub Actions,Jenkins) Hands-on experience with cloud platforms (Azure required Solid experience with artifact management and quality gates (Artifactory,SonarQube) Experience with monitoring,logging,tracing (Grafana,Dynatrace,ClickHouse)"
"Senior Java Full Stack Developer - Angular, AWS","Experience in developing highly scalable and reliable web applications,including integration with internal and external systems. Minimum of 6 to 10 years of experience in software development methodologies and best practices ."
Front End Developer - React developer,"Frontend Developer (React) Resources Required 1 Job Description Proficiency with Javascript, HTML5, CSS, Javascript, jQuery/Bootstrap and JSON Must have an excellent knowledge of React. Proficient understanding of cross-browser compatibility issues. Good understanding of AJAX and Javascript DOM Design and build advanced, scalable applications on azure. Ability to understand business requirements and map to latest azure features. A good understanding of how Azure DevOps works and maintain code repositories from the same. Should be able to act as a consultant to team members on technical matters. Work with the product and design teams to understand end-user requirements and use cases and translate them pragmatic and effective technical solutions. Integrate with other our backend services (JSON, XML, etc.). Continuously discover, evaluate, and implement new technologies to maximize development efficiency. Unit-test code for robustness, including edge cases, usability, and general reliability. Ability to read code done by any developer and updating that code. Skills At minimum of 5 - 7 years of experience in frontend development. Knowledge on consuming REST APIs 5+ years of experience in building responsive website using HTML, CSS, Javascript, jQuery/Bootstrap and JSON. Proficient with Javascript framework such as Angular or React, preferably REACT experience with Redux. Familiarity with server-side technologies like node.js Experience in SQL Server TSQL and Admin knowledge Implementation experience in Azure landscape Working and integration with Azure and on-premise components. Good understanding of the development life cycle. Working knowledge of the general mobile landscape, architectures, trends, and emerging technologies. Experience in working with third-party libraries and APIs, specifically eCommerce APIs. Good to have experience on implementation of headless eCommerce websites. Kibo eCommerce platform knowledge is plus. Good contributions in Github or Azure Devops is preferred. Excellent communicator (written and verbal, formal and informal)."
AI/ML Engineer - Generative AI & LLMs,"Must Have Skills Fission Labs is hiring a Machine Learning Engineer (35 yrs) with hands-on experience in Python,Generative AI,LLMs,and Transformers for Hyderabad / Pune"
Java Developer,"Optimize applications for maximum speed and scalability Core Java 11+,good to have exposure to Java 17 and 21,Strong and fundamental understanding of exceptional handling,generics and multithreading AWS Certification or AWS Training is needed Preferred candidate profile ."
"Full stack Developer(Java, Angular/React)","Job Title: Full Stack Software Engineer Job Overview: We are looking for a Full Stack Software Engineer to join our team. Youll work on building scalable, high-performance applications using technologies like Java, Spring Boot, ReactJS, JavaScript, REST APIs, SQL, and Kubernetes. You’ll contribute to both front-end and back-end development and play a key role in deploying and managing applications. Responsibilities: Design, develop, and maintain both client-side and server-side applications. Collaborate with cross-functional teams, including product, UX/UI, Data and DevOps. Build responsive web applications using ReactJS and AngularJS for frontend development. Develop and optimize RESTful APIs and integrate third-party APIs. Implement robust backend logic using Java and the Spring Boot framework. Utilize Kubernetes for containerization, deployment, and orchestration of services. Manage application state and enhance user interactivity with HTML, CSS, JavaScript and JQuery. Perform unit and integration testing to ensure the application is bug-free and high-performing. Troubleshoot, debug, and optimize both frontend and backend issues. Participate in code reviews to maintain high standards and ensure code quality. Technical Skills: Frontend: ReactJS: Experience with functional components, hooks, and state management (e.g., Redux). AngularJS: Strong understanding of directives, controllers, and services. JavaScript: Expertise in ES6+ features, asynchronous programming (Promises, async/await). JQuery: Proficiency in DOM manipulation and event handling. Backend: Java: Extensive experience in backend application development. Spring Boot: Expertise in building Java-based microservices and REST APIs. RESTful APIs: Ability to design, develop, and integrate APIs. D evOps & Infrastructure: Kubernetes: Experience in containerization, orchestration, and management of cloud-native applications. Familiarity with Docker for containerization. Experience with cloud platforms like AWS, Google Cloud, or Azure. Other Tools: Version control using Git. Familiarity with CI/CD pipelines for automated testing and deployment. Preferred Skills: Familiarity with microservices architecture. Experience with Agile/Scrum development processes. Knowledge of GraphQL or other API query languages. Experience with testing frameworks. Qualifications: 7+ years of experience as a Full Stack Developer or similar role. Strong problem-solving skills and the ability to work independently or in a collaborative team environment. Excellent communication and interpersonal skills."
Data Analyst (Location - All Over India),"Data Modeling experience in Data Warehouse (Snowflake,Google BigQuery,Amazon RedShift,Azure SQL) Experience with Ecommerce,ERP,CRM systems Interact with client and other externals teams for clarification and requirement gathering Requirement / dependency analysis Experience with Business Analytics Service or Data Visualization Tools: Domo,Tableau,Qlik,Power BI"
Devops Engineer,"Experience with Azure services (Azure Functions,App Services) and monitoring tools (Azure Monitor,Log Analytics) At least 8 years of experience in DevOps,cloud engineering,or software development with Azure DevOps Good communication skills"
Java Developer,"•A minimum of 5 years of experience is required in developing enterprise software product. •Must have Experience in Java, J2EE, JSP, Spring, Hibernate, Eclipse Link, JPA, Junit/Mockito, NetBeans/ Eclipse. •Must have experience in DB SQL"
Java Developer - Hiring For One of the MNC,Hiring for Java Developer who has skilled with Java 8 or Java 11. Hands on experience with Microservices and React
Sr. AI/ML Engineer,"Mandatory Requirements . Education: . Bachelors degree or higher in Computer Science,AI,Data Science,or related fields Proficient with LLM frameworks / libraries (e.g.,Hugging Face Transformers,LangChain,LlamaIndex) Experience in containerizing AI applications (Docker) and deploying on cloud platforms (AWS,GCP,Azure)"
Senior Java Developer- OSS/BSS/NMS,"Expertise in Docker,Kubernetes / OpenShift,and microservice scaling strategies. . Proficiency in PostgreSQL / MySQL schema design,data modeling,and performance tuning. . Understanding of network security best practices including SSH key management and password vaulting. . The Must Haves . ."
Java Developer,"In practice this means: . 6 to 15 years of proven experience in Java development with strong understanding of Java 11+ and Object-Oriented Programming principles Expertise in Spring Boot and building scalable microservices architectures Solid experience with testing methodologies and frameworks (JUnit,Mockito,etc.)"
Senior DevOps Engineer,"Ciklum is looking for a Senior DevOps Engineer to join our team full-time in India. We are a custom product engineering company that supports both multinational organizations and scaling startups to solve their most complex business challenges. With a global team of over 4,000 highly skilled developers, consultants, analysts and product owners, we engineer technology that redefines industries and shapes the way people live. About the role: As a Senior DevOps Engineer, become a part of a cross-functional development team working for a world-leading professional services organization that specializes in audit, tax, consulting, and advisory services. Responsibilities: Design, implement, and manage Kubernetes clusters to ensure high availability, scalability, and security Develop and maintain Docker containerization solutions for various applications and services Implement secrets management solutions to securely store and manage sensitive information Collaborate with development teams to establish and maintain CI/CD pipelines using tools such as GitHub Actions Manage and optimize cloud infrastructure on AWS, GCP, or Azure, ensuring efficient resource utilization and cost management Automate infrastructure provisioning and configuration management using Terraform and other Infrastructure as Code (IaC) tools Monitor and troubleshoot system performance, reliability, and security issues across all environments Maintain and enhance the artifact repository using JFrog Artifactory to ensure efficient storage and retrieval of build artifacts Utilize Jira for project management and issue tracking, ensuring timely resolution of tasks and incidents Implement and manage version control systems using GitHub, ensuring best practices for branching, merging, and code reviews Collaborate with cross-functional teams to ensure seamless integration and delivery of software releases Stay up-to-date with the latest industry trends, tools, and technologies to continuously improve the DevOps processes and practices Requirements: Bachelor's degree in Computer Science, Information Technology, or a related field Proven experience as a DevOps Engineer or similar role, with a strong focus on Kubernetes and Docker Hands-on experience with one or more cloud platforms: AWS, GCP, or Azure In-depth knowledge of CI/CD practices and tools, including GitHub Actions Experience with secrets management tools and practices Proficiency in Infrastructure as Code (IaC) tools, particularly Terraform Familiarity with artifact repository management using JFrog Artifactory Strong understanding of version control systems, particularly GitHub Experience with project management and issue tracking tools like Jira Excellent problem-solving skills and the ability to troubleshoot complex issues Strong communication and collaboration skills, with the ability to work effectively in a team-oriented environment Ability to manage multiple tasks and projects simultaneously, with a strong attention to detail Upper intermediate English Desirable: Certification in AWS, GCP, or Azure Experience with additional CI/CD tools and platforms Knowledge of security best practices in cloud and containerized environments Familiarity with monitoring and logging tools such as Prometheus, Grafana, and ELK stack Experience with scripting languages such as Python, Bash, or other shell scripting What`s in it for you? Strong community: Work alongside top professionals in a friendly, open-door environment Growth focus: Take on large-scale projects with a global impact and expand your expertise Tailored learning: Boost your skills with internal events (meetups, conferences, workshops), Udemy access, language courses, and company-paid certifications Endless opportunities: Explore diverse domains through internal mobility, finding the best fit to gain hands-on experience with cutting-edge technologies Care: Weve got you covered with company-paid medical insurance, mental health support, and financial & legal consultations About us: At Ciklum, we are always exploring innovations, empowering each other to achieve more, and engineering solutions that matter. With us, youll work with cutting-edge technologies, contribute to impactful projects, and be part of a One Team culture that values collaboration and progress. India is a strategic innovation hub for Ciklum, with growing teams in Chennai and Pune leading advancements in EdgeTech, AR/VR, IoT, and beyond. Join us to collaborate on game-changing solutions and take your career to the next level. Want to learn more about us? Follow us on Instagram, Facebook, LinkedIn. Explore, empower, engineer with Ciklum! Interested already? We would love to get to know you! Submit your application. We cant wait to see you at Ciklum."
Senior Full Stack Developer,"Ciklum is looking for a Senior Full Stack Developer to join our team full-time in India. We are a custom product engineering company that supports both multinational organizations and scaling startups to solve their most complex business challenges. With a global team of over 4,000 highly skilled developers, consultants, analysts and product owners, we engineer technology that redefines industries and shapes the way people live. About the role: As a Senior Full Stack Developer, become a part of a cross-functional development team working for a world-leading professional services organization that specializes in audit, tax, consulting, and advisory services. Your work will involve developing innovative software products for clients in the consumer sector. Responsibilities: Design and Implement and maintain robust, scalable, and secure APIs using Python Integrate front-end components with server-side logic Utilize Docker for containerization and deployment of applications Collaborate with Front-end engineers, DevOps, DataScientists and product managers to define, design, and ship new features Optimize applications for maximum speed and scalability Troubleshoot and debug issues across the full stack Perform comprehensive code reviews to ensure high code quality and facilitate knowledge sharing within the team Actively participate in multiple aspects of the SDLC, including planning, development, testing, and deployment Assist in upholding and enhancing the team's engineering and quality standards, and support team in adopting these Engage in the technical interviewing process Requirements: Bachelor's degree in computer science, Software Engineering, or a related field 3 to 4 years of professional experience in web development Proficiency in FastAPI or Flask and its core principles Experience in designing and consuming RESTful APIs Experience with frontend development, like ReactJs or similar frameworks Proficient in version control systems, such as Git (Github, Gitlab) Understanding of front-end build tools and modern python frameworks Familiarity with database technologies (SQL, NoSQL) Good problem-solving skills and attention to detail Strong communication and collaboration skills Experience in any major cloud platforms like Google Cloud, AWS, Azure Upper-intermediate English Desirable: Kubernetes and container orchestration tools Knowledge of CI/CD pipelines(GitHub Workflows) and DevOps practices What`s in it for you? Strong community: Work alongside top professionals in a friendly, open-door environment Growth focus: Take on large-scale projects with a global impact and expand your expertise Tailored learning: Boost your skills with internal events (meetups, conferences, workshops), Udemy access, language courses, and company-paid certifications Endless opportunities: Explore diverse domains through internal mobility, finding the best fit to gain hands-on experience with cutting-edge technologies Care: Weve got you covered with company-paid medical insurance, mental health support, and financial & legal consultations About us: At Ciklum, we are always exploring innovations, empowering each other to achieve more, and engineering solutions that matter. With us, youll work with cutting-edge technologies, contribute to impactful projects, and be part of a One Team culture that values collaboration and progress. India is a strategic innovation hub for Ciklum, with growing teams in Chennai and Pune leading advancements in EdgeTech, AR/VR, IoT, and beyond. Join us to collaborate on game-changing solutions and take your career to the next level. Want to learn more about us? Follow us on Instagram, Facebook, LinkedIn. Explore, empower, engineer with Ciklum! Interested already? We would love to get to know you! Submit your application. We can’t wait to see you at Ciklum."
Senior Python Developer,"Experience working with Azure Cloud services,including SaaS offerings such as Service Bus,Data Lake,Blob Storage,Redis,and more Requirements: . 5+ years of experience in development Proficient in web development with strong hands-on experience using the FastAPI framework Experience with Pydantic for data validation and schema definition in Python applications"
Senior Python Developer,"Optimize applications for maximum speed and scalability Requirements: . Bachelors degree in Computer Science,Software Engineering,or a related field GitHub Actions / workflows 3 to 4 years of professional experience in backend development Desirable: . Strong CI / CD experience Personal skills: . Good problem-solving skills and attention to detail"
Java Full Stack Developer Immdiate joiner pune chennai,"Preferred candidate profile . Strong expertise in Java 8+ / Spring Boot / RESTful APIs Hands-on experience in Angular (8+ version preferred) Good understanding of CI / CD pipelines,version control (Git),and Agile methodology"
Full-Stack Developer,"the front-end Designation: Full Stack Developer Preferred Experience: 2+ Years Job Summary: We are looking for a highly motivated and detail-oriented Full Stack Developer with 2 years of hands-on experience in React.js and Python. The ideal candidate will be responsible for developing and maintaining scalable web applications, ensuring seamless integration between the front-end and back-end components. This role requires a problem-solver with a passion for building high-quality software solutions. Key Responsibilities: Develop and maintain full-stack web applications using React.js for front-end and Python (preferably with Django or Flask) for the back-end. Design and implement RESTful APIs and ensure robust integration between client and server. Write clean, scalable, and efficient code following best practices and standards. Collaborate with UI/UX designers to translate wireframes and designs into high-quality code. Debug, test, and optimize application performance across different browsers and platforms. Participate in code reviews, stand-ups, and team meetings to drive innovation and improvement. Maintain documentation of developed features and codebase. Required Skills: Strong proficiency in React.js , including hooks, state management, and component lifecycle. Solid experience with Python , with exposure to frameworks like Django or Flask . Experience in integrating front-end interfaces with REST APIs. Familiarity with JavaScript , HTML5, CSS3, and responsive web design principles. Working knowledge of relational databases such as PostgreSQL , MySQL , or SQLite . Understanding of version control systems, especially Git ."
"Software Engineer/Software Developer/ - Freshers Bulk Hiring
","We are Hiring Freshers, who are passionate to build their careers in Software Developer SQL//Knowledge of programming language like Node Js, Dot Net ,Java, PHP, C#.net, SQL, ERP Software etcBCA /BSC/B.E/ B.tech / M.tech (IT/CS)/ MCA Freshers Software Developer -Freshers Bulk Hiring"
